variable,team,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
att,Atalanta,0.873,0.083,0.729,1.0,0.0,0.0,30008.0,27723.0,1.0
att,Bologna,0.742,0.104,0.547,0.937,0.001,0.0,31068.0,26590.0,1.0
att,Cremonese,0.523,0.092,0.355,0.697,0.0,0.0,36177.0,41598.0,1.0
att,Empoli,0.524,0.091,0.359,0.695,0.0,0.0,37469.0,41255.0,1.0
att,Fiorentina,0.737,0.104,0.551,0.94,0.001,0.0,26950.0,22445.0,1.0
att,Inter,0.902,0.072,0.773,1.0,0.0,0.0,30621.0,25405.0,1.0
att,Juventus,0.768,0.103,0.585,0.964,0.001,0.0,29402.0,27314.0,1.0
att,Lazio,0.812,0.098,0.654,1.0,0.001,0.0,26107.0,22932.0,1.0
att,Lecce,0.468,0.085,0.313,0.63,0.0,0.0,40104.0,43433.0,1.0
att,Milan,0.855,0.089,0.704,1.0,0.0,0.0,29467.0,25461.0,1.0
att,Monza,0.679,0.103,0.492,0.879,0.001,0.0,31213.0,29130.0,1.0
att,Napoli,0.925,0.06,0.816,1.0,0.0,0.0,37056.0,30904.0,1.0
att,Roma,0.696,0.104,0.502,0.894,0.001,0.0,30572.0,27933.0,1.0
att,Salernitana,0.685,0.104,0.494,0.884,0.001,0.0,31848.0,28198.0,1.0
att,Sampdoria,0.353,0.074,0.221,0.495,0.0,0.0,45156.0,48132.0,1.0
att,Sassuolo,0.672,0.104,0.481,0.872,0.001,0.0,27199.0,23043.0,1.0
att,Spezia,0.449,0.084,0.298,0.612,0.0,0.0,38831.0,42233.0,1.0
att,Torino,0.59,0.096,0.414,0.772,0.001,0.0,36395.0,37700.0,1.0
att,Udinese,0.662,0.102,0.476,0.86,0.001,0.0,31444.0,30367.0,1.0
att,Verona,0.447,0.084,0.293,0.603,0.0,0.0,42162.0,46855.0,1.0
def,Atalanta,0.611,0.098,0.438,0.8,0.001,0.0,29857.0,28595.0,1.0
def,Bologna,0.604,0.095,0.433,0.785,0.001,0.0,29531.0,28377.0,1.0
def,Cremonese,0.432,0.06,0.324,0.545,0.0,0.0,28941.0,43431.0,1.0
def,Empoli,0.615,0.097,0.44,0.799,0.001,0.0,28889.0,27920.0,1.0
def,Fiorentina,0.689,0.11,0.489,0.9,0.001,0.001,25816.0,21181.0,1.0
def,Inter,0.695,0.111,0.497,0.909,0.001,0.0,29709.0,24003.0,1.0
def,Juventus,0.833,0.102,0.661,1.0,0.001,0.0,34610.0,26996.0,1.0
def,Lazio,0.864,0.092,0.703,1.0,0.0,0.0,45055.0,34586.0,1.0
def,Lecce,0.657,0.104,0.468,0.857,0.001,0.0,29913.0,25717.0,1.0
def,Milan,0.683,0.109,0.489,0.899,0.001,0.0,32278.0,27160.0,1.0
def,Monza,0.571,0.089,0.408,0.735,0.001,0.0,30312.0,33839.0,1.0
def,Napoli,0.879,0.087,0.725,1.0,0.0,0.0,36227.0,27014.0,1.0
def,Roma,0.766,0.113,0.578,0.984,0.001,0.0,27827.0,21934.0,1.0
def,Salernitana,0.476,0.069,0.351,0.604,0.0,0.0,31514.0,43843.0,1.0
def,Sampdoria,0.425,0.058,0.32,0.534,0.0,0.0,30883.0,41552.0,1.0
def,Sassuolo,0.484,0.07,0.359,0.619,0.0,0.0,31914.0,42905.0,1.0
def,Spezia,0.485,0.07,0.36,0.618,0.0,0.0,29530.0,38911.0,1.0
def,Torino,0.726,0.112,0.525,0.942,0.001,0.0,27064.0,20907.0,1.0
def,Udinese,0.621,0.098,0.446,0.812,0.001,0.0,30363.0,29287.0,1.0
def,Verona,0.51,0.075,0.378,0.655,0.0,0.0,29962.0,40288.0,1.0
home_boost,home_boost,1.253,0.078,1.112,1.404,0.0,0.0,45669.0,54133.0,1.0
